2015-10-03 15:29:46,455 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:29:46,457 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:29:46,457 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:29:47,518 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:29:47,519 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:29:47,520 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:29:47,520 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:30:07,540 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:30:07,541 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:30:07,542 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:30:07,542 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:33:42,453 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:33:42,453 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:33:42,455 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:33:42,455 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:33:43,480 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:33:43,481 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
2015-10-03 15:33:43,482 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:33:43,482 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/test/resources
2015-10-03 15:45:14,886 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-03 15:45:14,887 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP1/PhonyList/src/main/resources
